а 8,46191842477393
б 1,7719866686401
в 4,56789881290981
г 2,018962771696
д 3,04110502636492
е 8,07255212800673
ё 0,0857729282093073
ж 1,04238181257278
з 1,74853731300699
и 6,55779508294652
й 1,15517053833658
к 3,46462000452938
л 5,07041047963294
м 3,00080423265327
н 6,53916042390729
о 11,385063384589
п 2,53333285780774
р 4,42194217727713
с 5,28270293500338
т 5,74696451211966
у 2,7861044289859
ф 0,193211991091028
х 0,86325726707122
ц 0,348708858863411
ч 1,42006801204744
ш 0,970785491000975
щ 0,28736605781559
ъ 0,0450263292574846
ы 1,90278592610689
ь 1,99631586549521
э 0,30510910637448
ю 0,64204870689732
я 2,27012944400954
